词语,词频
梅西,6288
西,3091
说,2995
球迷,2277
中国,2228
没,2061
呦,1894
日本,1741
喜欢,1672
doge,1648
支持,1521
回复,1460
视频,1251
上场,1076
香港,1017
钱,868
做,867
足球,836
想,826
笑,812
真的,811
卖,799
尊重,785
粉丝,758
事,741
阿根廷,645
态度,570
骂,567
哭,564
合同,564
罗,550
主办方,545
洗,525
流量,520
比赛,516
球衣,516
脱单,512
更,512
事件,512
吃瓜,508
真,504
731,498
…,493
事情,493
受伤,484
剪,478
国家,469
确实,450
热度,446
踢,444
年,437
迈阿密,433
结晶,408
投币,406
球员,403
政治,403
太,397
黑,392
孩子,387
这件,387
道歉,381
C,378
站,376
偶像,371
关注,366
理解,365
行,358
回血,352
握手,345
东西,343
理性,342
感觉,341
滴,329
球王,328
一点,327
解释,326
舆论,316
评论,316
主,312
只能,308
粉,304
喜极而泣,303
里,301
希望,297
永远,296
挺,294
里奥,294
懂,292
梅,291
这是,283
现场,283
中,282
踢球,277
错,270
特首,265
死,261
tv,261
原因,258
一句,256
团队,254
大哭,253
吃,247
吆西,247
牙,247
球星,246
c,245
UP,245
呲,242
爱,240
肯定,239
眼,235
call,229
外国人,228
买,228
国内,224
请,224
有人,223
话,222
商业,221
点,221
有没有,220
星星,220
不好,219
思考,219
发,216
出,216
滑稽,216
爱国,214
世界杯,213
狗,210
事实,209
赚,208
选择,205
蹭,205
建议,204
时间,201
脸,198
三连,198
是因为,197
ai,196
衣服,194
喷,191
微笑,190
影响,190
互动,189
本来,187
搞,184
明星,182
国际,181
找,181
客观,181
自信,181
世界,180
哔哩,178
眼睛,177
点赞,177
妙,176
代表,176
关系,176
历史,175
出场,175
问,173
时,172
说话,171
表现,171
心心,171
不用,171
球队,169
不想,169
观点,168
媒体,168
赛后,167
签名,167
伤害,167
带,166
AI,166
OK,165
贱,165
明白,165
脱粉,165
看球,164
跪,164
牢大,162
西哟,162
立场,160
发生,160
大笑,158
先,156
辣,155
民族,155
人品,154
心疼,154
情绪,154
~,154
自尊,154
理智,153
高,152
嗑瓜子,151
走,151
干,151
分析,150
简单,150
前,149
价值,147
逻辑,146
舔,145
一件,145
朋友,144
讨论,143
两个,143
https,143
小日子,143
俱乐部,142
兄弟,142
情况,142
地震,142
一场,142
美国,141
区,141
一种,141
官方,140
国外,139
巴萨,139
层面,139
转移,138
伤,138
完,137
网上,136
反正,135
!,135
矛盾,135
球,134
可惜,133
新年快乐,132
全程,132
生气,130
好像,129
讲,129
路,128
节奏,128
第一,127
月,127
发布会,126
捐款,126
回应,126
分钟,125
哈哈哈,125
剪掉,125
🟦,124
加油,124
至少,123
插,123
热爱,123
精神,123
🤣,123
几个,122
兜,122
b23,122
不到,122
跟风,121
表达,121
为啥,121
国人,120
踩,119
回,119
多年,119
群体,117
拒绝,117
好好,117
观众,116
言论,116
&#,116
看不起,115
导致,115
损失,115
澄清,115
玩,114
讨厌,114
怕,114
侏儒,113
号,113
哥们,113
地方,113
证明,113
值得,113
梅粉,113
花,112
10,111
良民,111
成,110
接受,110
合影,110
追星,110
没什么,110
发现,110
失望,110
跑,110
34,110
哥,109
外网,109
身上,108
一条,108
反思,108
网络,108
活动,108
感情,108
这事,107
牛郎,107
扯,107
理由,106
血,106
成就,105
无关,104
听,103
港府,103
不行,103
几天,103
早就,103
开,101
逼,101
评价,101
日,101
投,101
八嘎,100
谢谢,100
背后,100
发言,99
网友,99
做出,99
伤病,99
冠军,99
卖掉,99
互联网,98
穿,98
韩国,98
快,97
体育,97
老哥,97
有钱,96
抹布,96
感到,95
违约,94
牛,94
合成,94
无所谓,93
梗,93
估计,93
舒服,93
参加,93
难,93
动态,93
浪费,93
😭,92
能力,92
球技,92
面前,92
完美,92
不在乎,92
双标,91
花钱,91
回来,91
第一次,91
放,91
圈,91
乐子,91
运动员,90
人物,90
藏狐,90
公关,90
跪下,90
王,90
嗨,90
逆风,89
实在,89
写,89
双手,89
发声,89
干嘛,89
非,89
黑脸,89
认知,89
拥抱,89
新闻,88
自我,88
少,88
呐,88
👍,88
就行了,87
传奇,87
烧,87
记得,86
回旋,86
利益,86
愤怒,86
骨气,86
大哥,86
环境,85
当年,85
角度,85
罕见,84
告诉,84
脑子,84
请问,84
高价,84
样子,83
忘,83
开心,83
真实,83
倒,83
营销,83
老板,83
攻击,83
想法,83
屁股,82
有伤,82
看着,82
自然,82
歧视,82
币,82
公元,82
说梅西,81
追,81
b,81
人民,81
想想,81
尘,81
曝光,81
反转,80
挂,80
故乡,80
运动,80
错误,80
洗白,80
对梅西,80
道德,80
家人,80
砸,80
网,79
说实话,79
科比,79
搞笑,79
站队,79
资本,79
证据,79
场,78
祝,78
马拉多纳,78
二极管,78
万,78
扔,78
区别,78
假,78
承认,78
天,77
20,77
霍启刚,77
正确,76
敢,76
事儿,76
唯一,76
意义,76
杭州,76
心,76
擦,76
拉,75
致敬,75
算,75
程度,75
梅毒,75
市场,74
小丑,74
没错,74
包括,74
一堆,74
原谅,74
外,73
想要,73
生活,73
掩盖,73
友谊赛,73
三,73
侮辱,73
北京,73
看梅西,73
可怜,73
🇯,72
🇵,72
厉害,72
那种,72
阿伟罗,72
宣传,72
巴黎,72
不配,72
只会,72
操作,72
真相,72
大部分,72
性格,72
这波,71
B,71
见,71
退,71
黑子,71
办法,70
中日,70
尊严,70
颁奖,70
镖,69
夺冠,69
更是,69
外国,69
所有人,69
公众,69
退钱,69
信,69
高度,69
难受,69
提纯,69
帮,68
45,68
社会,68
重点,68
逆天,68
一套,68
自由,67
抽象,67
这下,67
面子,67
2024,67
压,67
全世界,67
公开,67
这位,67
偷笑,67
取消,67
目的,67
漂亮,67
参与,67
独立思考,67
受,66
新,66
搜,66
罗哥,66
判断,66
摆,65
意见,65
贴,65
签,65
提前,65
汶川,65
造谣,65
信息,65
阴谋论,65
内容,65
眼里,65
臭,64
部队,64
这才,64
区别对待,64
身体,64
之间,64
饭,64
手,64
关键,64
领导,64
无视,64
不说,63
事后,63
一波,63
一生,63
伤心,63
装,63
玩意,63
在乎,62
沙特,62
道理,62
没事,62
怪,62
责任,61
心中,61
心情,61
两天,61
文化,61
男人,61
大义,61
政府,60
特别,60
名字,60
不错,60
转,60
胜利,60
热,60
总统,60
普通人,60
收,59
赚钱,59
有个,59
配合,59
相关,59
の,59
差,59
争议,59
国,59
一群,59
小白兔,59
表演赛,59
当初,59
佩服,59
赞,59
举报,59
我家,58
字,58
足坛,58
冷,58
无脑,58
垃圾,58
要说,57
国家队,57
感动,57
国籍,57
瞧不起,57
弹幕,57
纯,57
删,57
不谈,57
想象,57
微博,56
赛,56
英国,56
拿过,56
热情,56
够,56
疯狂,56
骗,56
封杀,56
在意,56
拍,56
做法,56
退役,56
21,56
买票,55
那天,55
对不起,55
神,55
过梅西,55
鬼子,55
很难,55
姆巴,55
西方,55
更好,55
安排,55
看法,55
恶心,55
几年,54
总,54
好多,54
老,54
🐶,54
发酵,54
崇拜,54
荣誉,54
抵制,54
饭圈,54
感受,54
看过,54
胡子,54
一集,53
丢,53
影响力,53
赛前,53
腹股沟,53
掉,53
梅西有,53
去年,53
难过,53
脏,53
足球圈,53
看待,53
大佐,52
绷,52
消防栓,52
地位,52
纯纯,52
委屈,52
不上,52
政治立场,52
😂,52
方式,52
离谱,52
其他人,52
捐,52
回回,52
没西,51
认同,51
30,51
三天,51
从来不,51
足,51
疑惑,51
依然,51
开头,51
没戏,51
关心,51
带头,51
作文,51
领奖,51
幽默,50
抠,50
鼻,50
烂,50
没想到,50
换,50
脸色,50
下场,50
忠诚,50
咯,50
活该,50
得罪,50
带来,50
全是,50
抱拳,50
越,50
指责,50
质疑,50
可笑,50
拿来,50
中文,49
底线,49
图,49
🇨,49
🇳,49
️,49
😡,49
夺得,49
发展,49
没人,49
祖国,49
硬,49
嘲笑,49
恢复,49
输出,49
不看,48
生龙活虎,48
樱花,48
佩,48
